?class	?label	?definition
<http://purl.obolibrary.org/obo/ENVO_03000018>	"englacial stream"	"A stream which is primarily composed of meltwater and which flows within a glacier or ice sheet."
<http://purl.obolibrary.org/obo/ENVO_00003082>	"enriched soil"	"A portion of enriched soil is a portion of soil with elevated levels of some material entity."
<http://purl.obolibrary.org/obo/ENVO_01000045>	"epeiric sea biome"	"The epeiric sea (also known as an epicontinental sea) biome comprises a shallow seas that extend over part of a continent. Epeiric seas are usually associated with the marine transgressions of the geologic  past, which have variously been due to either global eustatic sea level changes, local tectonic deformation, or both, and are occasionally semi-cyclic."
<http://purl.obolibrary.org/obo/ENVO_00000368>	"ephemeral island"	"An island, usually the consequence of the activity of a submarine volcano, that only exists for a short period or short periods of time after its formation, then being eroded or otherwise disappearing beneath the surface of a body of water."
<http://purl.obolibrary.org/obo/ENVO_00000204>	"ephemeral spring"	"A spring through which fluid intermittently flows."
<http://purl.obolibrary.org/obo/ENVO_00002131>	"epilimnion"	"The top-most layer in a thermally stratified lake, occurring above the deeper hypolimnion. It is warmer and typically has a higher pH and dissolved oxygen concentration than the hypolimnion."
<http://purl.obolibrary.org/obo/ENVO_01000363>	"erosional cave"	"A cave formed by erosion caused by flowing streams carrying rocks or sediments."
<http://purl.obolibrary.org/obo/ENVO_00000280>	"escarpment"	"A slope which separates different physiogeographic provinces that are typically composed of rocks of different age and compositoin."
<http://purl.obolibrary.org/obo/ENVO_00000282>	"esker"	"A long, winding ridge of stratified sand and gravel which occur in glaciated and formerly glaciated regions of Europe and North America."
<http://purl.obolibrary.org/obo/ENVO_01000020>	"estuarine biome"	"Expressions of the estuarine biome occur at wide lower courses of a rivers where they flow into a sea. Estuaries experience tidal flows and their water is a changing mixture of fresh and salt."
<http://purl.obolibrary.org/obo/ENVO_01001314>	"estuarine coastal lower water column"	"A layer of estuarine water which extends from an estuarine pycnocline or mid-depth to the estuarine bed and from the shore to a fiat boundary where the estuary bed below the water column reaches a depth of 4 meters."
<http://purl.obolibrary.org/obo/ENVO_01001313>	"estuarine coastal pycnocline"	"A pycnocline which is part of an estuarine water body, spanning from the shore to a fiat boundary where the estuary bed below the water column reaches a depth of 4 meters."
<http://purl.obolibrary.org/obo/ENVO_01001302>	"estuarine coastal surface layer"	"A layer of estuarine water which extends a few centimeters from the surface of the water column towards the estuary bed and from the shore to a fiat boundary where the estuary bed below the water column reaches a depth of 4 meters."
<http://purl.obolibrary.org/obo/ENVO_01001312>	"estuarine coastal upper water column"	"A layer of estuarine water which extends from the surface of the water column to the pycnocline or mid-depth and from the shore to a fiat boundary where the estuary bed below the water column reaches a depth of 4 meters."
<http://purl.obolibrary.org/obo/ENVO_00002160>	"estuarine mud"	"Mud which is part of an estuary."
<http://purl.obolibrary.org/obo/ENVO_01001322>	"estuarine open water lower water column"	"A layer of estuarine water which extends from an estuarine pycnocline or mid-depth to the estuary bed and from a fiat boundary where the estuary bed below the water column reaches a depth of 4 meters to end of the estuary most distal from the coast."
<http://purl.obolibrary.org/obo/ENVO_01001323>	"estuarine open water pycnocline"	"A pycnocline which is part of an estuarine water body, spanning from a fiat boundary where the estuary bed below the water column reaches a depth of 4 meters until the end of the estuary most distal from the coast."
<http://purl.obolibrary.org/obo/ENVO_01001315>	"estuarine open water surface layer"	"A layer of estuarine water which extends a few centimeters from the surface of the water column towards the estuary bed and from a fiat boundary where the estuary bed below the water column reaches a depth of 4 meters until the end of the estuary most distal from the coast."
